Date	Close
12.09.07	136.67
13.09.07	136.75
14.09.07	135.77
17.09.07	135.03
18.09.07	137.73
19.09.07	143.47
20.09.07	142.89
21.09.07	146.19
24.09.07	145.21
25.09.07	144.52
26.09.07	145.73
27.09.07	148.46
28.09.07	148.78
01.10.07	148.87
02.10.07	150.20
03.10.07	149.83
04.10.07	150.01
05.10.07	149.13
08.10.07	148.62
09.10.07	148.54
10.10.07	148.31
11.10.07	147.56
12.10.07	147.56
15.10.07	146.22
16.10.07	146.30
17.10.07	147.34
18.10.07	144.80
19.10.07	141.78
22.10.07	140.55
23.10.07	140.44
24.10.07	138.04
25.10.07	136.66
26.10.07	137.26
29.10.07	137.92
30.10.07	139.61
31.10.07	140.95
01.11.07	137.84
02.11.07	136.93
05.11.07	135.18
06.11.07	132.79
07.11.07	130.37
08.11.07	128.38
09.11.07	128.31
12.11.07	130.78
13.11.07	131.37
14.11.07	132.56
15.11.07	129.85
16.11.07	128.73
19.11.07	125.13
20.11.07	125.31
21.11.07	122.27
22.11.07	122.52
23.11.07	123.73
26.11.07	121.68
27.11.07	121.61
28.11.07	126.19
29.11.07	126.45
30.11.07	128.03
03.12.07	126.15
04.12.07	124.96
05.12.07	126.44
06.12.07	127.11
07.12.07	130.53
10.12.07	131.79
11.12.07	132.45
12.12.07	133.48
13.12.07	130.44
14.12.07	131.03
17.12.07	128.68
18.12.07	129.69
19.12.07	128.49
20.12.07	128.94
21.12.07	132.96
27.12.07	133.55
28.12.07	134.34
02.01.08	132.50
03.01.08	131.60
04.01.08	129.01
07.01.08	127.18
08.01.08	127.02
09.01.08	126.44
10.01.08	126.15
11.01.08	127.26
14.01.08	130.20
15.01.08	128.09
16.01.08	128.96
17.01.08	128.34
18.01.08	120.94
21.01.08	108.86
22.01.08	108.51
23.01.08	101.08
24.01.08	112.46
25.01.08	110.44
28.01.08	112.40
29.01.08	112.24
30.01.08	110.34
31.01.08	108.47
01.02.08	110.08
04.02.08	109.05
05.02.08	104.64
06.02.08	106.23
07.02.08	104.67
08.02.08	105.06
11.02.08	102.77
12.02.08	104.74
13.02.08	104.90
14.02.08	104.92
15.02.08	102.67
18.02.08	105.03
19.02.08	106.54
20.02.08	106.69
21.02.08	107.55
22.02.08	105.48
25.02.08	107.20
26.02.08	110.35
27.02.08	110.46
28.02.08	110.19
29.02.08	106.70
03.03.08	104.95
04.03.08	102.73
05.03.08	105.37
06.03.08	102.45
07.03.08	100.92
10.03.08	98.70
11.03.08	100.62
12.03.08	103.70
13.03.08	101.46
14.03.08	101.35
17.03.08	96.02
18.03.08	100.01
19.03.08	100.74
20.03.08	102.45
25.03.08	109.21
26.03.08	108.44
27.03.08	111.20
28.03.08	114.47
31.03.08	113.94
01.04.08	120.06
02.04.08	122.11
03.04.08	119.48
04.04.08	120.84
